Season,Team,Team_original,Pace
2008-09,Denver Nuggets,Denver Nuggets*,94.3
2008-09,Detroit Pistons,Detroit Pistons*,86.7
2008-09,Golden State Warriors,Golden State Warriors,98.2
2008-09,Houston Rockets,Houston Rockets*,90.2
2008-09,Indiana Pacers,Indiana Pacers,96.5
2008-09,Los Angeles Clippers,Los Angeles Clippers,92.1
2008-09,Los Angeles Lakers,Los Angeles Lakers*,94.3
2008-09,Memphis Grizzlies,Memphis Grizzlies,90.1
2008-09,Miami Heat,Miami Heat*,89.9
2008-09,Milwaukee Bucks,Milwaukee Bucks,92.6
2008-09,Minnesota Timberwolves,Minnesota Timberwolves,91.6
2008-09,New Jersey Nets,New Jersey Nets,89.9
2008-09,New Orleans Hornets,New Orleans Hornets*,87.8
2008-09,New York Knicks,New York Knicks,96.7
2008-09,Oklahoma City Thunder,Oklahoma City Thunder,93.6
2008-09,Orlando Magic,Orlando Magic*,92.3
2008-09,Philadelphia 76ers,Philadelphia 76ers*,90
2008-09,Phoenix Suns,Phoenix Suns,96
2008-09,Portland Trail Blazers,Portland Trail Blazers*,86.6
2008-09,Sacramento Kings,Sacramento Kings,94.2
2008-09,San Antonio Spurs,San Antonio Spurs*,88.4
2008-09,Toronto Raptors,Toronto Raptors,92
2008-09,Utah Jazz,Utah Jazz*,93.1
2008-09,Washington Wizards,Washington Wizards,91
2009-10,Atlanta Hawks,Atlanta Hawks*,90.1
2009-10,Boston Celtics,Boston Celtics*,91.6
2009-10,Charlotte Bobcats,Charlotte Bobcats*,90.4
2009-10,Chicago Bulls,Chicago Bulls*,93.1
2009-10,Cleveland Cavaliers,Cleveland Cavaliers*,91.4
2009-10,Dallas Mavericks,Dallas Mavericks*,92.5
2009-10,Denver Nuggets,Denver Nuggets*,94.8
2009-10,Detroit Pistons,Detroit Pistons,88.5
2009-10,Golden State Warriors,Golden State Warriors,100.4
2009-10,Houston Rockets,Houston Rockets,94
2009-10,Indiana Pacers,Indiana Pacers,97.1
2009-10,Los Angeles Clippers,Los Angeles Clippers,92.6
2009-10,Los Angeles Lakers,Los Angeles Lakers*,92.8
2009-10,Memphis Grizzlies,Memphis Grizzlies,93.6
2009-10,Miami Heat,Miami Heat*,89.6
2009-10,Milwaukee Bucks,Milwaukee Bucks*,91.7
2009-10,Minnesota Timberwolves,Minnesota Timberwolves,96.1
2009-10,New Jersey Nets,New Jersey Nets,91.4
2009-10,New Orleans Hornets,New Orleans Hornets,92.6
