Season,Team,Team_original,Pace
2021-22,Denver Nuggets,Denver Nuggets*,97.8
2021-22,Detroit Pistons,Detroit Pistons,98.4
2021-22,Golden State Warriors,Golden State Warriors*,98.4
2021-22,Houston Rockets,Houston Rockets,100.9
2021-22,Indiana Pacers,Indiana Pacers,98
2021-22,Los Angeles Clippers,Los Angeles Clippers,98
2021-22,Los Angeles Lakers,Los Angeles Lakers,100.1
2021-22,Memphis Grizzlies,Memphis Grizzlies*,100.3
2021-22,Miami Heat,Miami Heat*,95.9
2021-22,Milwaukee Bucks,Milwaukee Bucks*,99.9
2021-22,Minnesota Timberwolves,Minnesota Timberwolves*,100.9
2021-22,New Orleans Pelicans,New Orleans Pelicans*,97.2
2021-22,New York Knicks,New York Knicks,95.9
2021-22,Oklahoma City Thunder,Oklahoma City Thunder,98.6
2021-22,Orlando Magic,Orlando Magic,99.2
2021-22,Philadelphia 76ers,Philadelphia 76ers*,96.2
2021-22,Phoenix Suns,Phoenix Suns*,99.8
2021-22,Portland Trail Blazers,Portland Trail Blazers,98.3
2021-22,Sacramento Kings,Sacramento Kings,99.8
2021-22,San Antonio Spurs,San Antonio Spurs,100
2021-22,Toronto Raptors,Toronto Raptors*,96
2021-22,Utah Jazz,Utah Jazz*,97.1
2021-22,Washington Wizards,Washington Wizards,97
2022-23,Atlanta Hawks,Atlanta Hawks*,100.7
2022-23,Boston Celtics,Boston Celtics*,98.5
2022-23,Brooklyn Nets,Brooklyn Nets*,98.3
2022-23,Charlotte Hornets,Charlotte Hornets,100.8
2022-23,Chicago Bulls,Chicago Bulls,98.5
2022-23,Cleveland Cavaliers,Cleveland Cavaliers*,95.7
2022-23,Dallas Mavericks,Dallas Mavericks,96.6
2022-23,Denver Nuggets,Denver Nuggets*,98.1
2022-23,Detroit Pistons,Detroit Pistons,99
2022-23,Golden State Warriors,Golden State Warriors*,101.6
2022-23,Houston Rockets,Houston Rockets,99
2022-23,Indiana Pacers,Indiana Pacers,101.1
2022-23,Los Angeles Clippers,Los Angeles Clippers*,98
2022-23,Los Angeles Lakers,Los Angeles Lakers*,101.3
2022-23,Memphis Grizzlies,Memphis Grizzlies*,101.1
2022-23,Miami Heat,Miami Heat*,96.3
2022-23,Milwaukee Bucks,Milwaukee Bucks*,100.5
2022-23,Minnesota Timberwolves,Minnesota Timberwolves*,101
2022-23,New Orleans Pelicans,New Orleans Pelicans,99.1
2022-23,New York Knicks,New York Knicks*,97.1
2022-23,Oklahoma City Thunder,Oklahoma City Thunder,101.1
2022-23,Orlando Magic,Orlando Magic,99.3
2022-23,Philadelphia 76ers,Philadelphia 76ers*,96.9
2022-23,Phoenix Suns,Phoenix Suns*,98.2
2022-23,Portland Trail Blazers,Portland Trail Blazers,98.6
2022-23,Sacramento Kings,Sacramento Kings*,100.3
2022-23,San Antonio Spurs,San Antonio Spurs,101.6
2022-23,Toronto Raptors,Toronto Raptors,97.1
2022-23,Utah Jazz,Utah Jazz,100.5
2022-23,Washington Wizards,Washington Wizards,98.6
2023-24,Atlanta Hawks,Atlanta Hawks,100.1
2023-24,Boston Celtics,Boston Celtics*,97.2
2023-24,Brooklyn Nets,Brooklyn Nets,96.9
2023-24,Charlotte Hornets,Charlotte Hornets,97.3
2023-24,Chicago Bulls,Chicago Bulls,96.3
2023-24,Cleveland Cavaliers,Cleveland Cavaliers*,97.2
2023-24,Dallas Mavericks,Dallas Mavericks*,100.1
2023-24,Denver Nuggets,Denver Nuggets*,96.8
2023-24,Detroit Pistons,Detroit Pistons,99.8
2023-24,Golden State Warriors,Golden State Warriors,99.2
2023-24,Houston Rockets,Houston Rockets,99
2023-24,Indiana Pacers,Indiana Pacers*,101.7
2023-24,Los Angeles Clippers,Los Angeles Clippers*,97.2
2023-24,Los Angeles Lakers,Los Angeles Lakers*,100.9
2023-24,Memphis Grizzlies,Memphis Grizzlies,98.2
2023-24,Miami Heat,Miami Heat*,96.2
2023-24,Milwaukee Bucks,Milwaukee Bucks*,99.9
2023-24,Minnesota Timberwolves,Minnesota Timberwolves*,97.1
2023-24,New Orleans Pelicans,New Orleans Pelicans*,97.9
2023-24,New York Knicks,New York Knicks*,95.2
2023-24,Oklahoma City Thunder,Oklahoma City Thunder*,99.8
2023-24,Orlando Magic,Orlando Magic*,96.9
2023-24,Philadelphia 76ers,Philadelphia 76ers*,97.5
2023-24,Phoenix Suns,Phoenix Suns*,98.3
2023-24,Portland Trail Blazers,Portland Trail Blazers,97.2
2023-24,Sacramento Kings,Sacramento Kings,98.8
2023-24,San Antonio Spurs,San Antonio Spurs,101.1
2023-24,Toronto Raptors,Toronto Raptors,99.4
2023-24,Utah Jazz,Utah Jazz,99.5
2023-24,Washington Wizards,Washington Wizards,102.7
2024-25,Atlanta Hawks,Atlanta Hawks,102.6
2024-25,Boston Celtics,Boston Celtics*,95.7
2024-25,Brooklyn Nets,Brooklyn Nets,96.4
2024-25,Charlotte Hornets,Charlotte Hornets,97.6
2024-25,Chicago Bulls,Chicago Bulls,102.8
2024-25,Cleveland Cavaliers,Cleveland Cavaliers*,99.8
2024-25,Dallas Mavericks,Dallas Mavericks,99.2
2024-25,Denver Nuggets,Denver Nuggets*,99.8
2024-25,Detroit Pistons,Detroit Pistons*,99.8
2024-25,Golden State Warriors,Golden State Warriors*,98.7
2024-25,Houston Rockets,Houston Rockets*,98.6
2024-25,Indiana Pacers,Indiana Pacers*,99.9
2024-25,Los Angeles Clippers,Los Angeles Clippers*,97.5
2024-25,Los Angeles Lakers,Los Angeles Lakers*,97.6
2024-25,Memphis Grizzlies,Memphis Grizzlies*,103.3
2024-25,Miami Heat,Miami Heat*,96.2
2024-25,Milwaukee Bucks,Milwaukee Bucks*,99.3
2024-25,Minnesota Timberwolves,Minnesota Timberwolves*,97.3
2024-25,New Orleans Pelicans,New Orleans Pelicans,99.1
2024-25,New York Knicks,New York Knicks*,96.7
2024-25,Oklahoma City Thunder,Oklahoma City Thunder*,100
2024-25,Orlando Magic,Orlando Magic*,96.1
2024-25,Philadelphia 76ers,Philadelphia 76ers,97.4
2024-25,Phoenix Suns,Phoenix Suns,97.1
2024-25,Portland Trail Blazers,Portland Trail Blazers,98.8
2024-25,Sacramento Kings,Sacramento Kings,98.2
2024-25,San Antonio Spurs,San Antonio Spurs,99.3
2024-25,Toronto Raptors,Toronto Raptors,99.7
2024-25,Utah Jazz,Utah Jazz,100
2024-25,Washington Wizards,Washington Wizards,100.9
