Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Latrell Sprewell,29,SF,82,82,40,6.9,15.9,0.435,0.5,1.5,0.346,6.4,14.4,0.445,0.452,4.2,4.8,0.866,0.6,3.7,4.3,4,1.3,0.3,2.8,2.2,18.6,
2,Allan Houston,28,SG,82,82,38.6,7.5,15.5,0.483,1.3,3,0.436,6.2,12.5,0.494,0.525,3.4,4.1,0.838,0.5,2.8,3.3,2.7,0.8,0.2,2.3,2.7,19.7,AS
3,Patrick Ewing,37,C,62,62,32.8,5.8,12.5,0.466,0,0,0,5.8,12.5,0.467,0.466,3.3,4.6,0.731,2.3,7.5,9.7,0.9,0.6,1.4,2.3,3.2,15,
4,Larry Johnson,30,PF,70,68,32.6,4,9.3,0.433,0.8,2.5,0.333,3.2,6.8,0.469,0.477,1.8,2.4,0.766,1.2,4.2,5.4,2.5,0.6,0.1,1.3,2.9,10.7,
5,Charlie Ward,29,PG,72,69,27.6,2.6,6.2,0.423,1.4,3.7,0.386,1.2,2.5,0.475,0.537,0.7,0.8,0.828,0.3,2.9,3.2,4.2,1.3,0.2,1.4,2.4,7.3,
6,Marcus Camby,25,C,59,11,26.2,3.8,8,0.48,0,0,0.5,3.8,7.9,0.48,0.481,2.5,3.7,0.67,2.9,4.9,7.8,0.8,0.7,2,1.2,3.5,10.2,6MOY-6
7,Kurt Thomas,27,PF,80,21,24.6,3.4,6.7,0.505,0,0,0.333,3.4,6.7,0.506,0.506,1.3,1.6,0.781,1.8,4.5,6.3,1,0.6,0.5,1.3,3.5,8,
8,Chris Childs,32,PG,71,2,23.6,2.1,5,0.409,0.5,1.5,0.356,1.5,3.6,0.431,0.461,0.7,0.8,0.797,0.2,1.8,2.1,4,0.5,0.1,1.5,3.4,5.3,
9,John Wallace,25,SF,60,0,13.3,2.6,5.5,0.467,0,0.1,0,2.6,5.5,0.471,0.467,1.4,1.7,0.804,0.7,1.6,2.3,0.4,0.2,0.2,1.1,1.7,6.5,
10,Andrew Lang,33,C,19,10,12.8,1.5,3.4,0.438,0,0,,1.5,3.4,0.438,0.438,0.2,0.4,0.429,0.8,2.3,3.2,0.2,0.4,0.3,0.3,1.6,3.1,
11,Chris Dudley,34,C,47,3,9.8,0.5,1.4,0.343,0,0,,0.5,1.4,0.343,0.343,0.2,0.6,0.333,1.3,1.6,2.9,0.1,0.1,0.4,0.4,2,1.2,
12,Rick Brunson,27,PG,37,0,7.8,0.8,1.9,0.414,0.1,0.4,0.154,0.7,1.5,0.474,0.429,0.3,0.5,0.611,0.1,0.6,0.7,1.3,0.2,0,0.8,0.9,1.9,
13,DeMarco Johnson,24,PF,5,0,7.4,0.6,1.8,0.333,0,0,,0.6,1.8,0.333,0.333,0,0,,0.6,0.8,1.4,0,0.2,0,0.6,1,1.2,
14,David Wingate,36,SG,7,0,4.6,0.1,1.3,0.111,0,0,,0.1,1.3,0.111,0.111,0,0,,0.1,0.1,0.3,0.4,0.1,0.3,0.3,1,0.3,
15,Mirsad TĆ¼rkcan,23,PF,7,0,3.6,0.3,1.4,0.2,0,0.3,0,0.3,1.1,0.25,0.2,0,0,,0.3,1.1,1.4,0.1,0.3,0,0.1,0.6,0.6,
16,Etdrick Bohannon,26,PF,2,0,2.5,0,0,,0,0,,0,0,,,1.5,2,0.75,0.5,0,0.5,0,0,0,1,0.5,1.5,
