Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Cade Cunningham,23,PG,70,70,35,9.8,20.8,0.469,2.1,6,0.356,7.6,14.8,0.515,0.521,4.5,5.3,0.846,0.8,5.3,6.1,9.1,1,0.8,4.4,2.8,26.1,"MVP-7,AS,NBA3"
2,Tobias Harris,32,PF,73,73,31.6,5.3,11,0.477,1.2,3.6,0.345,4,7.4,0.542,0.534,2,2.3,0.861,0.9,5,5.9,2.2,1,0.8,1.2,1.9,13.7,
3,Jaden Ivey,22,SG,30,30,29.9,6.3,13.8,0.46,2.1,5.1,0.409,4.2,8.6,0.49,0.536,2.8,3.9,0.733,1.3,2.8,4.1,4,0.9,0.4,3,2.2,17.6,
4,Tim Hardaway Jr.,32,SG,77,77,28,3.6,8.8,0.406,2.2,5.9,0.368,1.4,2.9,0.484,0.529,1.6,1.9,0.855,0.2,2.1,2.4,1.6,0.5,0.1,0.6,1.2,11,
5,Malik Beasley,28,SG,82,18,27.8,5.6,13.1,0.43,3.9,9.3,0.416,1.7,3.7,0.466,0.579,1.2,1.7,0.679,0.6,2,2.6,1.7,0.9,0.1,1,1.5,16.3,6MOY-2
6,Jalen Duren,21,C,78,78,26.1,4.8,7,0.692,0,0,,4.8,7,0.692,0.692,2.1,3.1,0.669,3.6,6.8,10.3,2.7,0.7,1.1,1.7,3.2,11.8,
7,Dennis Schröder,31,PG,28,8,25.2,3.4,9,0.378,1.1,3.8,0.302,2.3,5.2,0.434,0.442,2.9,3.4,0.833,0.5,2.2,2.6,5.3,0.5,0.2,1.3,2,10.8,
8,Ausar Thompson,22,SF,59,48,22.5,4.2,7.8,0.535,0.2,0.8,0.224,4,7,0.572,0.547,1.5,2.4,0.641,1.9,3.3,5.1,2.3,1.7,0.7,1.4,2.8,10.1,
9,Tolu Smith,24,PF,1,0,22,6,9,0.667,0,0,,6,9,0.667,0.667,2,3,0.667,4,4,8,0,0,0,2,3,14,
10,Isaiah Stewart,23,C,72,4,19.9,2.4,4.4,0.559,0.2,0.7,0.321,2.2,3.6,0.607,0.586,0.9,1.2,0.759,1.8,3.7,5.5,1.7,0.4,1.4,0.9,2.5,6,
11,Ron Harper Jr.,24,SF,1,0,17,1,8,0.125,0,6,0,1,2,0.5,0.125,2,2,1,4,3,7,2,0,0,0,0,4,
12,Simone Fontecchio,29,SF,75,0,16.5,2,5,0.402,1,3,0.335,1,1.9,0.507,0.504,0.9,1.1,0.833,0.7,2.2,2.9,0.9,0.4,0.2,0.7,1.3,5.9,
13,Ron Holland,19,SF,81,2,15.6,2.4,5.1,0.474,0.4,1.9,0.238,2,3.3,0.608,0.517,1.1,1.5,0.754,0.5,2.2,2.7,1,0.6,0.2,0.9,1.7,6.4,
14,Marcus Sasser,24,PG,57,1,14.2,2.4,5.2,0.463,1,2.7,0.382,1.4,2.5,0.549,0.561,0.8,0.9,0.843,0.3,0.9,1.2,2.3,0.6,0.1,0.9,1.3,6.6,
15,Wendell Moore Jr.,23,SG,20,1,11,1.2,2.5,0.46,0.2,0.7,0.286,1,1.8,0.528,0.5,0.7,0.7,0.929,0.6,1.7,2.2,1.2,0.5,0.2,0.5,0.8,3.2,
16,Paul Reed,25,C,45,0,9.7,1.6,3.2,0.507,0.2,0.6,0.286,1.4,2.5,0.561,0.535,0.7,0.9,0.762,0.9,1.8,2.7,1,0.9,0.6,0.6,1.7,4.1,
17,Lindy Waters III,27,SG,14,0,8.8,1.1,3.1,0.364,1.1,2.7,0.395,0.1,0.4,0.167,0.534,0,0,,0.3,0.7,1,0.7,0.4,0.1,0.2,0.5,3.4,
18,Cole Swider,25,SF,2,0,6.5,0,2.5,0,0,2.5,0,0,0,,0,0,0,,0,1,1,0.5,0,0,0,0.5,0,
19,Bobi Klintman,21,SF,8,0,5.3,0.8,1.3,0.6,0.3,0.6,0.4,0.5,0.6,0.8,0.7,0.1,0.3,0.5,0.1,0.8,0.9,0.9,0.3,0.1,0.1,1,1.9,
20,Alondes Williams,25,SG,1,0,4,2,2,1,1,1,1,1,1,1,1.25,0,0,,0,0,0,1,0,0,0,0,5,
21,Daniss Jenkins,23,PG,7,0,3.3,0.4,1.4,0.3,0.1,1,0.143,0.3,0.4,0.667,0.35,0,0.3,0,0,0.3,0.3,0.4,0,0,0.1,0.3,1,
,Team Totals,,,82,82,241.5,42.7,89.8,0.476,12.8,35.4,0.362,29.9,54.4,0.55,0.547,17.2,22.3,0.774,11.4,33.4,44.8,26.4,8,5.3,14.9,20.7,115.5,
