Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Paolo Banchero,22,PF,46,46,34.4,9,19.8,0.452,1.9,5.9,0.32,7.1,13.9,0.509,0.5,6.1,8.4,0.727,1.1,6.4,7.5,4.8,0.8,0.6,3,2.1,25.9,
2,Franz Wagner,23,SF,60,60,33.7,9,19.4,0.463,1.7,5.9,0.295,7.2,13.5,0.535,0.507,4.5,5.2,0.871,0.9,4.8,5.7,4.7,1.3,0.4,2.3,2.5,24.2,
3,Kentavious Caldwell-Pope,31,SG,77,77,29.6,3.1,7.1,0.439,1.5,4.3,0.342,1.6,2.8,0.589,0.543,1.1,1.2,0.863,0.4,1.8,2.2,1.8,1.3,0.4,0.8,1.8,8.7,
4,Jalen Suggs,23,PG,35,35,28.6,5.6,13.7,0.41,2.2,6.9,0.314,3.5,6.8,0.506,0.489,2.8,3.1,0.882,0.7,3.4,4,3.7,1.5,0.9,2.9,2.8,16.2,
5,Wendell Carter Jr.,25,C,68,51,25.9,3.3,7.2,0.46,0.5,2.3,0.234,2.8,4.9,0.568,0.498,1.9,2.6,0.737,2.2,5,7.2,2,0.8,0.6,1.1,2.9,9.1,
6,Anthony Black,21,PG,78,10,24.2,3.4,7.9,0.423,0.8,2.5,0.318,2.6,5.4,0.471,0.473,1.9,2.5,0.761,0.7,2.3,2.9,3.1,1.1,0.6,1.8,2.1,9.4,
7,Tristan Da Silva,23,SF,74,38,22,2.7,6.5,0.412,1.1,3.2,0.335,1.6,3.3,0.488,0.495,0.7,0.9,0.873,1,2.3,3.3,1.5,0.4,0.2,0.8,1.3,7.2,
8,Goga Bitadze,25,C,70,42,20.4,3,4.8,0.611,0,0.4,0.107,2.9,4.4,0.656,0.615,1.2,1.9,0.639,2.4,4.2,6.6,2,0.7,1.4,1,2.1,7.2,
9,Moritz Wagner,27,C,30,1,18.8,4.7,8.3,0.562,0.9,2.5,0.36,3.8,5.8,0.649,0.616,2.6,3.7,0.718,1.3,3.6,4.9,1.4,0.8,0.4,1.6,1.8,12.9,
10,Cole Anthony,24,PG,67,22,18.4,3.4,8.1,0.424,1.1,3.3,0.353,2.3,4.9,0.471,0.494,1.4,1.7,0.823,0.7,2.4,3,2.9,0.7,0.5,1.5,2.3,9.4,
11,Jonathan Isaac,27,PF,71,1,15.4,1.9,4.6,0.414,0.5,2.1,0.258,1.3,2.4,0.549,0.474,1,1.5,0.682,1.7,2.7,4.4,0.6,0.9,1.1,0.5,1.3,5.4,
12,Gary Harris,30,SG,48,3,14.8,1.1,2.8,0.383,0.8,2.1,0.356,0.3,0.7,0.469,0.519,0.1,0.3,0.583,0.4,0.9,1.3,0.6,0.5,0.3,0.4,0.9,3,
13,Trevelin Queen,27,SG,31,2,13.9,1.8,4.7,0.381,0.7,2.5,0.286,1.1,2.3,0.486,0.456,0.6,0.7,0.857,0.8,0.9,1.7,1.2,1,0.3,0.7,1.2,4.9,
14,Caleb Houstan,22,SF,58,6,13.6,1.4,3.3,0.421,1.1,2.8,0.4,0.3,0.5,0.533,0.589,0.3,0.3,0.882,0.3,1,1.3,0.6,0.4,0.1,0.2,1.1,4.1,
15,Cory Joseph,33,PG,50,16,12.2,1.2,3.1,0.403,0.8,2.1,0.364,0.5,0.9,0.489,0.529,0.3,0.4,0.778,0.3,1.1,1.5,1.4,0.5,0.1,0.4,1,3.5,
16,Jett Howard,21,SF,60,0,11.7,1.6,4.4,0.374,0.9,3.1,0.296,0.7,1.3,0.566,0.479,0.3,0.4,0.696,0.3,0.8,1.2,0.7,0.2,0.2,0.6,1.1,4.5,
17,Mac McClung,26,SG,2,0,5,0,1,0,0,0.5,0,0,0.5,0,0,0,0,,0,0.5,0.5,1.5,0,0,0,1,0,
,Team Totals,,,82,82,240.6,38.2,85.8,0.445,11.2,35.3,0.318,26.9,50.5,0.533,0.51,17.9,23,0.775,11.1,30.7,41.8,23,8.9,6,14.2,20.1,105.4,
